"TIMESTAMP","EQ_NAME","ATTR","VALUE","CALC_PROC"
"Feb 20 2015  5:41PM","CL_TB_L","QOIL","","PHD.OFI_18_7196A"
"Feb 20 2015  5:41PM","CL_TB_L","QWAT","","PHD.OFI_18_7196B"
"Feb 20 2015  5:41PM","CL_TB_L","QLIQ","","PHD.OFI_18_7196C"
"Feb 20 2015  5:41PM","CL_TB_L","QGAS","","PHD.OFI_18_7196D"
"Feb 20 2015  5:41PM","CL_TB_L","WC","","PHD.OFFI_18_7196A"
"Feb 20 2015  5:41PM","CL_TB_L","GOR","","PHD.OFFI_18_7196B"
"Feb 20 2015  5:41PM","CL_TB_L","ROUTING","",""
"Feb 20 2015  5:41PM","F_TROLL","EQUIPMENT_NAME","F_TROLL",""
"Feb 20 2015  5:41PM","F_TROLL","EQUIPMENT_DESC","F_TROLL",""
"Feb 20 2015  5:41PM","OL","EQUIPMENT_NAME","OL",""
"Feb 20 2015  5:41PM","OL","EQUIPMENT_DESC","OL",""
"Feb 20 2015  5:41PM","OSL_ALL_FIELDS","EQUIPMENT_NAME","OSL_ALL_FIELDS",""
"Feb 20 2015  5:41PM","OSL_ALL_FIELDS","EQUIPMENT_DESC","OSL_ALL_FIELDS",""
"Feb 20 2015  5:41PM","P_TB","EQUIPMENT_NAME","TB",""
"Feb 20 2015  5:41PM","P_TB","EQUIPMENT_DESC","TB",""
"Feb 20 2015  5:41PM","PL_TB_D_P","EQUIPMENT_NAME","D_P",""
"Feb 20 2015  5:41PM","PL_TB_D_P","EQUIPMENT_DESC","D Prod - Troll B",""
"Feb 20 2015  5:41PM","PL_TB_D_P","QOIL","","PHD.OFI_18_6196PA"
"Feb 20 2015  5:41PM","PL_TB_D_P","QWAT","","PHD.OFI_18_6196PB"
"Feb 20 2015  5:41PM","PL_TB_D_P","QLIQ","","PHD.OFI_18_6196PC"
"Feb 20 2015  5:41PM","PL_TB_D_P","QGAS","","PHD.OFI_18_6196PD"
"Feb 20 2015  5:41PM","PL_TB_D_P","WC","","PHD.OFFI_18_6196PA"
"Feb 20 2015  5:41PM","PL_TB_D_P","GOR","","PHD.OFFI_18_6196PB"
"Feb 20 2015  5:41PM","PL_TB_D_P","UCP","","PHD.PZTI_16_0012"
"Feb 20 2015  5:41PM","PL_TB_D_P","UCT","","PHD.TT_16_0011"
"Feb 20 2015  5:41PM","PL_TB_D_P","DCP","","PHD.PZTI_16_0013"
"Feb 20 2015  5:41PM","PL_TB_D_P","DP","","PHD.PDI_16_0010"
"Feb 20 2015  5:41PM","PL_TB_D_P","CHOKE","","PHD.HC_16_0008"
"Feb 20 2015  5:41PM","PL_TB_D_P","ROUTING","","PHD.HY_16_0030"
"Feb 20 2015  5:41PM","PL_TB_D_P","PMFLD","",""
"Feb 20 2015  5:41PM","PL_TB_D_P","GASLIFT","","PHD.FIC_23_0251"
"Feb 20 2015  5:41PM","PL_TB_D_P","GROUP","",""
"Feb 20 2015  5:41PM","PL_TB_D_P","CLUSTER","",""
"Feb 20 2015  5:41PM","PL_TB_D_T","EQUIPMENT_NAME","D_T",""
"Feb 20 2015  5:41PM","PL_TB_D_T","EQUIPMENT_DESC","D Test - Troll B",""
"Feb 20 2015  5:41PM","PL_TB_D_T","QOIL","","PHD.OFI_18_6196TA"
"Feb 20 2015  5:41PM","PL_TB_D_T","QWAT","","PHD.OFI_18_6196TB"
"Feb 20 2015  5:41PM","PL_TB_D_T","QLIQ","","PHD.OFI_18_6196TC"
"Feb 20 2015  5:41PM","PL_TB_D_T","QGAS","","PHD.OFI_18_6196TD"
"Feb 20 2015  5:41PM","PL_TB_D_T","WC","","PHD.OFFI_18_6196TA"
"Feb 20 2015  5:41PM","PL_TB_D_T","GOR","","PHD.OFFI_18_6196TB"
"Feb 20 2015  5:41PM","PL_TB_D_T","UCP","","PHD.PZTI_16_0062"
"Feb 20 2015  5:41PM","PL_TB_D_T","UCT","","PHD.TT_16_0061"
"Feb 20 2015  5:41PM","PL_TB_D_T","DCP","","PHD.PZTI_16_0063"
"Feb 20 2015  5:41PM","PL_TB_D_T","DP","","PHD.PDI_16_0060"
"Feb 20 2015  5:41PM","PL_TB_D_T","CHOKE","","PHD.HC_16_0058"
"Feb 20 2015  5:41PM","PL_TB_D_T","ROUTING","","PHD.HY_16_0080"
"Feb 20 2015  5:41PM","PL_TB_D_T","PMFLD","",""
"Feb 20 2015  5:41PM","PL_TB_D_T","GASLIFT","","PHD.FIC_23_0751"
"Feb 20 2015  5:41PM","PL_TB_D_T","GROUP","",""
"Feb 20 2015  5:41PM","PL_TB_D_T","CLUSTER","",""
"Feb 20 2015  5:41PM","PL_TB_E_P","EQUIPMENT_NAME","E_P",""
"Feb 20 2015  5:41PM","PL_TB_E_P","EQUIPMENT_DESC","E Prod - Troll B",""
"Feb 20 2015  5:41PM","PL_TB_E_P","QOIL","","PHD.OFI_18_6296PA"
"Feb 20 2015  5:41PM","PL_TB_E_P","QWAT","","PHD.OFI_18_6296PB"
"Feb 20 2015  5:41PM","PL_TB_E_P","QLIQ","","PHD.OFI_18_6296PC"
"Feb 20 2015  5:41PM","PL_TB_E_P","QGAS","","PHD.OFI_18_6296PD"
"Feb 20 2015  5:41PM","PL_TB_E_P","WC","","PHD.OFFI_18_6296PA"
"Feb 20 2015  5:41PM","PL_TB_E_P","GOR","","PHD.OFFI_18_6296PB"
"Feb 20 2015  5:41PM","PL_TB_E_P","UCP","","PHD.PZTI_16_0112"
"Feb 20 2015  5:41PM","PL_TB_E_P","UCT","","PHD.TT_16_0111"
"Feb 20 2015  5:41PM","PL_TB_E_P","DCP","","PHD.PZTI_16_0113"
